Ahha3Cqe_fk,Katy Perry,The One That Got Away,matching,"And on my eighteenth birthday, we got __ tattoos",10360,17200,6840,0,Feature_Has_Suffix_Tch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this,1230,3640,2410,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this,3640,7340,3700,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh oh-oh-oh),7340,10920,3580,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh oh-oh-oh),10920,13770,2850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,such,And I'm known as __,25820,27740,1920,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,And this is a beat uh u can't __,27740,30740,3000,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,I told you homeboy u can't __ this,30740,34410,3670,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Yeah that's how we're livin' and you know u can't __ this,34410,37960,3550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Look in my eyes man u can't __ this,37960,41530,3570,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,You know let me bust the funky lyrics u can't __ this,41530,44050,2520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,much,Let 'em know that you're too __,58410,60260,1850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,And this is a beat uh u can't __,60260,63270,3010,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Yo I told you u can't __ this,63270,66790,3520,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Why you standing there man u can't __ this,66790,70230,3440,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Yo sound the bells school is in sucker u can't __ this,70230,72950,2720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh-oh-oh),93890,97280,3390,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh-oh-oh),97280,100720,3440,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this,132370,134990,2620,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Look man u can't __ this,134990,138840,3850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,You'll probably get hyped boy 'cause you know you can't u can't __ this,138840,142490,3650,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,(Oh-oh oh oh oh-oh-oh) u can't __ this,173490,177340,3850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,(Oh-oh oh oh oh-oh-oh) u can't __ this,177340,180890,3550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,(Oh-oh oh oh oh-oh-oh) u can't __ this,180890,184260,3370,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh oh-oh-oh),223840,226980,3140,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh oh oh-oh-oh),226980,230530,3550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Can't __ this (oh-oh oh-oh-oh),230530,233910,3380,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Yeah u can't __ this,233910,235780,1870,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,I told you u can't __ this (oh-oh oh-oh-oh),235780,240470,4690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Too hype can't __ this,240470,243570,3100,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
otCpCn0l4Wo,Mc Hammer,U Can'T Touch This,touch,Get me outta here u can't __ this,243570,246070,2500,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_fFAKrIntzY,Arcade Fire,Here Comes The Night Time,preachers,Now the __ they talk,290440,294060,3620,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GCdwKhTtNNw,The Neighbourhood,Sweater Weather,beach,I hate the __,13610,15670,2060,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GCdwKhTtNNw,The Neighbourhood,Sweater Weather,Touch,__ my neck and I'll touch yours,29260,33010,3750,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GCdwKhTtNNw,The Neighbourhood,Sweater Weather,touch,Touch my neck and I'll __ yours,29260,33010,3750,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
GCdwKhTtNNw,The Neighbourhood,Sweater Weather,much,I don't mind if there's not __ to say,71130,72930,1800,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
mOHWZmREuvA,Two Door Cinema Club,Changing Of The Seasons,much,It's so __ colder,13080,16470,3390,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
9e9NSMY8QiQ,Tegan And Sara,Closer,touch,"Here comes the rush before we __, come a little closer",20250,28700,8450,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
WbN0nX61rIs,Florence And The Machine,Shake It Out,such,Our love is pastured __ a mournful sound,56390,60750,4360,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OePvsCfKHJg,Phoenix,Trying To Be Cool,teach,They __ you suffer to resist,40550,43400,2850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
OePvsCfKHJg,Phoenix,Trying To Be Cool,much,Too __ intention Presbyterian,43400,48300,4900,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
LfNVfiqKBeM,Death Cab For Cutie,I Will Follow You Into The Dark,each,Cause we'll hold __ other soon,146170,148930,2760,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,much,I remind myself that times could be __ worse,114610,118270,3660,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,much,It was not so __ to ask,121680,123960,2280,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,much,Honey it's this loan I think I borrowed just to __,176560,181020,4460,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
dZX6Q-Bj_xg,Passion Pit,Take A Walk,much,I'm just too __ a coward,204830,207620,2790,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0YuSg4mts9E,The Naked And Famous,Young Blood,each,Our hands gripping __ other tight,97930,101930,4000,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
CTAud5O7Qqk,Modest Mouse,Float On,much,"I ran my mouth off a bit too __, ah what did I say?",33580,39640,6060,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
zwFS69nA-1w,Bright Eyes,First Day Of My Life,beach,They're spreading blankets on the __,33580,40370,6790,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
c-jKfLXYQqw,Cults,High Road,such,Now it's __ a long way back,98940,103110,4170,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
c-jKfLXYQqw,Cults,High Road,such,Now it's __ a long way back,215970,220190,4220,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
FuvWc3ToDHg,Beach House,Myth,reach,Can you come when they come to __ you,139350,146160,6810,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
eeWjzBHUdsI,The Offspring,Self Esteem,much,Then I wonder how __ more I can spend,132830,136590,3760,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
#NAME?,Counting Crows,Mr. Jones,each,Tell __ other fairy tales,84690,87180,2490,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,much,And is it too __ to ask for every Sunday?,33360,38990,5630,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,Not __ a bad thing to fall in love with me,196440,211500,15060,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,Not __ a bad thing to fall in love with me,274570,334280,59710,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,And this sounds like __ a silly thing,363410,369500,6090,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,It's so hard not to lose your mind in __ crazy days,442420,454540,12120,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,I know this sounds like __ a silly thing,509260,515130,5870,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y8ygKnBtKAk,Justin Timberlake,Not A Bad Thing,such,It's so hard not to lose your mind in __ crazy days,588240,600400,12160,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,When I __ ***** want you,38410,41290,2880,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,Just got __,57950,59820,1870,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,I can make a broke ***** __,62260,64550,2290,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,When I __ ***** want you (Want you babe),86560,90350,3790,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,Just got __,124340,127220,2880,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,I can make a broke ***** __,129560,131860,2300,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,When I __ ***** want you (Want you babe),134430,138610,4180,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,When I __ ***** want you (Want you babe),201210,205860,4650,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
JXRN_LkCa_o,Chris Brown,Loyal,rich,When I __ ***** want you (Want you babe),221170,225100,3930,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,And you know we're on __ other's team,79750,85610,5860,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,And you know we're on __ other's team,127870,133330,5460,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,And you know we're on __ other's team,166550,173890,7340,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,We're on __ other's team,173890,176520,2630,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,And you know we're on __ other's team,176520,183420,6900,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
f2JuxM-snGc,Lorde,Team,each,We're on __ other's team,183420,185670,2250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fm660vIn8Tg,Aloe Blacc,The Man,teacher,I'll be the __ you could be the lesson,97690,100420,2730,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
fm660vIn8Tg,Aloe Blacc,The Man,preacher,I'll be the __ you be the confession,100420,103200,2780,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Y66j_BUCBMY,American Authors,Best Day Of My Life,touched,I jumped so high I __ the clouds,14710,22180,7470,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
tlYcUqEPN58,Ed Sheeran,Sing,couch,We just sit on the __ one thing led to another now she's kissing my mouth,126570,130130,3560,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o3SqUUoJjW8,Lana Del Rey,West Coast,touch,"You're flyin' high at the show, I'm feelin' hot to the __",46470,50710,4240,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
o3SqUUoJjW8,Lana Del Rey,West Coast,much,"You say you'll miss me the most, I say I'll miss you so __",50710,54720,4010,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
O-zpOMYRi0w,Iggy Azalea,Fancy,much,And swear I meant that there so __ that they give that line a rewind,69940,72550,2610,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
O-zpOMYRi0w,Iggy Azalea,Fancy,touch,"Classic, expensive, you don't get to __, ow",125640,133030,7390,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
O-zpOMYRi0w,Iggy Azalea,Fancy,touch,"Hot girl, hands off, don't __ that",138660,141140,2480,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
iS1g8G_njx8,Ariana Grande,Problem,touch,Every time you __ me,70680,72910,2230,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,For trying to __ the things that I can't see?,72020,76980,4960,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,Trying to __ the things that I can't see,88300,93980,5680,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,For trying to __ the things that I can't see?,136150,139230,3080,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,Trying to __ the things that I can't see,152380,158610,6230,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,For trying to __ the things that I can't see?,238280,243130,4850,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,Trying to __ the things that I can't see,254390,259640,5250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,For trying to __ the things that I can't see?,270230,273300,3070,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bg1sT4ILG0w,Nico And Vinz,Am I Wrong,reach,Trying to __ the things that I can't see,286450,305000,18550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hiP14ED28CA,Jason Derulo,Wiggle,sandwich,"Go head, and go ham __",56580,59840,3260,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
hiP14ED28CA,Jason Derulo,Wiggle,sandwich,"Go head, and go ham __",94650,97960,3310,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
93ASUImTedo,Disclosure,Latch,touch,"I'm so en-captured, got me wrapped up in your __",98070,107740,9670,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xOYJXMfoBN8,Ed Sheeran,Don'T,reach,Before a text message was the only way to __ her,76940,79400,2460,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xOYJXMfoBN8,Ed Sheeran,Don'T,couch,I'd rather put on a film with you and sit on the __,97630,100070,2440,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
xOYJXMfoBN8,Ed Sheeran,Don'T,much,It's a bit too __ too late if I'm honest,165790,168350,2560,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
rT10BHHqYUc,Bruno Mars,Young Girls,much,"That __ I know, yes I know",128949,132470,3521,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
gfA-tPKPoNs,Owl City,Beautiful Times,each,"Hugging __ other, crying their eyes out",45220,48920,3700,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Qtb11P1FWnc,Coldplay,Magic,such,"Still, I call it magic, __ a precious jewel",150380,161700,11320,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VPRjCeoBqrI,Coldplay,A  Sky Full Of Stars,Such,__ a heavenly view,208690,216150,7460,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
XgFiWGIVP6s,Sevyn Streeter,It Won'T Stop,beach,I love when we pulling up to the __,96000,98120,2120,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bcWWArLFgys,One Direction,Midnight Memories,touched,"Just __ down, you could never tell",9220,15240,6020,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
bcWWArLFgys,One Direction,Midnight Memories,much,I don't care how __ we spend,123410,126680,3270,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
EHkozMIXZ8w,Eminem,The Monster,much,"No, I ain't __ of a poet but I know somebody once told me",79770,90030,10260,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RBumgq5yVrA,Passenger,Let Her Go,touch,"Everything you __, all it dies",83440,89100,5660,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RBumgq5yVrA,Passenger,Let Her Go,touch,But never to __ and never to keep,131090,134100,3010,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
RBumgq5yVrA,Passenger,Let Her Go,much,Cause you loved her too __ and you dive too deep,134100,140350,6250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
BiOmXeKyrxo,Maejor Ali,Lolly,much,Got so __ money in my pocket,177410,179150,1740,1,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
gwKEdFoUB0o,U2,Walk On,much,You can only take so __,175540,179900,4360,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
gwKEdFoUB0o,U2,Walk On,much,You can only take so __,235500,239900,4400,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
_kqQDCxRCzM,One Direction,You And I,each,Did they ever hold __ other tight,44540,49090,4550,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VHrLPs3_1Fs,George Ezra,Budapest,achieved,I have __,28030,29700,1670,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
VHrLPs3_1Fs,George Ezra,Budapest,much,They fear they'd lose so __,134870,136750,1880,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
7-7knsP2n5w,Shakira,Dare La La La,touch,I dare you to __ me,154730,158420,3690,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
T_igmjEB560,Florida Georgia Line,Stay,touch,Without your __ I'm not gonna last,98530,101780,3250,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
40nFOYGVJtY,Clean Bandit,Extraordinary,much,I don't know how __ more I can take,37090,40770,3680,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
0go2nfVXFgA,The Vamps,Somebody To You,each,But now I wake __ day,76870,79280,2410,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Gqm873UWUdw,One Direction,Moments,touch,Trembling hands __ skin,36200,39920,3720,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
e-ORhEE9VVg,Taylor Swift,Blank Space,each,But you'll come back __ time you leave,127460,129960,2500,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
Zlot0i3Zykw,Taylor Swift,Red,Touching,__ him is like,75890,83320,7430,0,Feature_Has_Suffix_Ch,sound_ch,sounds_s_ch_jh_zh_w_f,,,,,,
